PeakID (cmd=annotatePeaks.pl Ncol_pos_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R2.mLb.clN_peak_252	NC_064034.1	4429673	4430982	+	7726	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	99	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Ncol_pos_R2.mLb.clN_peak_12210	NC_064044.1	8450256	8451219	+	7623	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-49	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Ncol_pos_R2.mLb.clN_peak_10236	NC_064042.1	8327172	8327541	+	7556	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-129	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Ncol_pos_R2.mLb.clN_peak_5308	NC_064037.1	15385399	15386242	+	6502	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-109	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Ncol_pos_R2.mLb.clN_peak_6791	NC_064039.1	5144793	5145941	+	6453	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-59	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_XM_048729400			LOC5521407			NA
Ncol_pos_R2.mLb.clN_peak_15450	NC_064048.1	3494890	3495423	+	6294	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-26	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Ncol_pos_R2.mLb.clN_peak_4094	NC_064036.1	17653874	17654898	+	6275	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-24	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Ncol_pos_R2.mLb.clN_peak_5985	NC_064038.1	8882344	8883081	+	6195	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-59	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Ncol_pos_R2.mLb.clN_peak_6273	NC_064038.1	13813383	13814164	+	6079	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	11	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Ncol_pos_R2.mLb.clN_peak_11074	NC_064043.1	6228201	6229276	+	6028	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-253	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Ncol_pos_R2.mLb.clN_peak_13989	NC_064046.1	6457889	6458920	+	6001	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-55	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Ncol_pos_R2.mLb.clN_peak_13209	NC_064045.1	10373021	10373802	+	5984	NA	promoter-TSS (Nvec_vc1.1_LOC5500874)	-promoter-TSS (Nvec_vc1.1_LOC5500874)	101	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Ncol_pos_R2.mLb.clN_peak_12843	NC_064045.1	4675375	4676247	+	5898	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-39	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_XM_048720321			LOC5509656			NA
Ncol_pos_R2.mLb.clN_peak_11741	NC_064043.1	15592564	15593446	+	5838	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-13	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Ncol_pos_R2.mLb.clN_peak_11517	NC_064043.1	12561358	12562310	+	5702	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-58	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Ncol_pos_R2.mLb.clN_peak_6068	NC_064038.1	10262497	10263188	+	5689	NA	promoter-TSS (Nvec_vc1.1_LOC5505624)	-promoter-TSS (Nvec_vc1.1_LOC5505624)	-77	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_XM_001626339			LOC5505624			NA
Ncol_pos_R2.mLb.clN_peak_12603	NC_064044.1	15748838	15749902	+	5642	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-119	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Ncol_pos_R2.mLb.clN_peak_13248	NC_064045.1	11036080	11037018	+	5629	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-201	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Ncol_pos_R2.mLb.clN_peak_13847	NC_064046.1	4139770	4140635	+	5616	NA	promoter-TSS (Nvec_vc1.1_LOC116618186)	-promoter-TSS (Nvec_vc1.1_LOC116618186)	-37	Nvec_vc1.1_LOC116618196	Nvec_vc1.1_LOC116618196	Nvec_vc1.1_XM_048720740			LOC116618196			NA
Ncol_pos_R2.mLb.clN_peak_5933	NC_064038.1	8116431	8117207	+	5615	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-72	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Ncol_pos_R2.mLb.clN_peak_943	NC_064034.1	15259322	15260470	+	5588	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-179	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_XM_032374705			LOC5506311			NA
Ncol_pos_R2.mLb.clN_peak_14636	NC_064047.1	2335924	2337352	+	5571	NA	exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	-exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	7103	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_XM_048721414			LOC125559768			NA
Ncol_pos_R2.mLb.clN_peak_8718	NC_064040.1	16920745	16921848	+	5543	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-128	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Ncol_pos_R2.mLb.clN_peak_9382	NC_064041.1	11493895	11494546	+	5527	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	-46	Nvec_vc1.1_LOC5515319	Nvec_vc1.1_LOC5515319	Nvec_vc1.1_XM_048731201			LOC5515319			NA
Ncol_pos_R2.mLb.clN_peak_4032	NC_064036.1	16544921	16545917	+	5522	NA	intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	-intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	5013	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_XM_001634398			LOC5514224			NA
Ncol_pos_R2.mLb.clN_peak_9681	NC_064041.1	16500366	16501511	+	5491	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-253	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Ncol_pos_R2.mLb.clN_peak_11196	NC_064043.1	7994500	7995562	+	5447	NA	promoter-TSS (Nvec_vc1.1_LOC5521895)	-promoter-TSS (Nvec_vc1.1_LOC5521895)	-140	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_XM_001641719			LOC5521900			NA
Ncol_pos_R2.mLb.clN_peak_15388	NC_064048.1	2444235	2444824	+	5435	NA	promoter-TSS (Nvec_vc1.1_LOC5510785)	-promoter-TSS (Nvec_vc1.1_LOC5510785)	-58	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_XM_048722641			LOC5510785			NA
Ncol_pos_R2.mLb.clN_peak_3770	NC_064036.1	12910363	12911495	+	5357	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-213	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Ncol_pos_R2.mLb.clN_peak_12404	NC_064044.1	11844988	11846065	+	5355	NA	promoter-TSS (Nvec_vc1.1_LOC5514711)	-promoter-TSS (Nvec_vc1.1_LOC5514711)	-100	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_XM_001634854			LOC5514711			NA
Ncol_pos_R2.mLb.clN_peak_8232	NC_064040.1	9448886	9449811	+	5321	NA	promoter-TSS (Nvec_vc1.1_LOC5504170)	-promoter-TSS (Nvec_vc1.1_LOC5504170)	-142	Nvec_vc1.1_LOC5504182	Nvec_vc1.1_LOC5504182	Nvec_vc1.1_XM_001625062			LOC5504182			NA
Ncol_pos_R2.mLb.clN_peak_11577	NC_064043.1	13313587	13314378	+	5284	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	67	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Ncol_pos_R2.mLb.clN_peak_14155	NC_064046.1	9299089	9299784	+	5268	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	-55	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_XM_001638427			LOC5518591			NA
Ncol_pos_R2.mLb.clN_peak_9668	NC_064041.1	16369243	16369934	+	5253	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-49	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_XM_032376688			LOC5507944			NA
Ncol_pos_R2.mLb.clN_peak_1428	NC_064035.1	1250171	1250980	+	5252	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	-12	Nvec_vc1.1_LOC5509121	Nvec_vc1.1_LOC5509121	Nvec_vc1.1_XM_001629608			LOC5509121			NA
Ncol_pos_R2.mLb.clN_peak_3906	NC_064036.1	14911124	14912291	+	5211	NA	Intergenic	Intergenic	-1706	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_XM_032367459			LOC5522175			NA
Ncol_pos_R2.mLb.clN_peak_977	NC_064034.1	15804052	15805572	+	5188	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	9	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Ncol_pos_R2.mLb.clN_peak_6149	NC_064038.1	11455841	11456691	+	5147	NA	promoter-TSS (Nvec_vc1.1_LOC5517698)	-promoter-TSS (Nvec_vc1.1_LOC5517698)	14	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_XM_048728259			LOC5517633			NA
Ncol_pos_R2.mLb.clN_peak_2870	NC_064035.1	21659703	21660765	+	5145	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	-25	Nvec_vc1.1_LOC5513161	Nvec_vc1.1_LOC5513161	Nvec_vc1.1_XM_032382661			LOC5513161			NA
Ncol_pos_R2.mLb.clN_peak_9635	NC_064041.1	16002468	16003802	+	5140	NA	promoter-TSS (Nvec_vc1.1_LOC116613156)	-promoter-TSS (Nvec_vc1.1_LOC116613156)	-289	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_XM_032373797			LOC116613156			NA
Ncol_pos_R2.mLb.clN_peak_9403	NC_064041.1	12519957	12520835	+	5127	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	2	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Ncol_pos_R2.mLb.clN_peak_10039	NC_064042.1	5381348	5382168	+	5117	NA	promoter-TSS (Nvec_vc1.1_LOC5504892)	-promoter-TSS (Nvec_vc1.1_LOC5504892)	-119	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_XM_001625714			LOC5504892			NA
Ncol_pos_R2.mLb.clN_peak_5550	NC_064038.1	1050973	1052536	+	5070	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-399	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Ncol_pos_R2.mLb.clN_peak_5728	NC_064038.1	4881727	4882534	+	5069	NA	promoter-TSS (Nvec_vc1.1_LOC5509169)	-promoter-TSS (Nvec_vc1.1_LOC5509169)	49	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_XM_032378043			LOC5509169			NA
Ncol_pos_R2.mLb.clN_peak_7255	NC_064039.1	10927871	10929009	+	5067	NA	promoter-TSS (Nvec_vc1.1_LOC5503776)	-promoter-TSS (Nvec_vc1.1_LOC5503776)	-239	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_XM_001624701			LOC5503784			NA
Ncol_pos_R2.mLb.clN_peak_15632	NC_064048.1	6328834	6329800	+	5043	NA	promoter-TSS (Nvec_vc1.1_LOC5511395)	-promoter-TSS (Nvec_vc1.1_LOC5511395)	-179	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_XM_048722531			LOC116617754			NA
Ncol_pos_R2.mLb.clN_peak_14677	NC_064047.1	2994163	2995174	+	5042	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	-6	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Ncol_pos_R2.mLb.clN_peak_905	NC_064034.1	13744758	13745751	+	5030	NA	promoter-TSS (Nvec_vc1.1_LOC5515847)	-promoter-TSS (Nvec_vc1.1_LOC5515847)	177	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_XM_001635904			LOC5515850			NA
Ncol_pos_R2.mLb.clN_peak_2973	NC_064036.1	1586651	1587882	+	5022	NA	promoter-TSS (Nvec_vc1.1_LOC5517045)	-promoter-TSS (Nvec_vc1.1_LOC5517045)	33	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_XM_032386923			LOC5517045			NA
Ncol_pos_R2.mLb.clN_peak_6188	NC_064038.1	12418944	12420562	+	4993	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-557	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
