PeakID (cmd=annotatePeaks.pl Fox_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_pos_R1.mLb.clN_peak_9506	NC_064042.1	8327180	8327575	+	10552	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-108	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Fox_pos_R1.mLb.clN_peak_12188	NC_064045.1	7648369	7650784	+	10377	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-285	Nvec_NVE21932	Nvec_NVE21932	Nvec_NVE21932						NA
Fox_pos_R1.mLb.clN_peak_4959	NC_064037.1	15384961	15386245	+	8262	NA	exon (Nvec_vc1.1_LOC116620204, exon 1 of 7)	-exon (Nvec_vc1.1_LOC116620204, exon 1 of 7)	108	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Fox_pos_R1.mLb.clN_peak_259	NC_064034.1	4429653	4430987	+	7262	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	92	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Fox_pos_R1.mLb.clN_peak_11385	NC_064044.1	8450168	8451214	+	5630	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-3	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Fox_pos_R1.mLb.clN_peak_10838	NC_064043.1	13313587	13314430	+	5603	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	41	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Fox_pos_R1.mLb.clN_peak_4953	NC_064037.1	15340384	15341490	+	5571	NA	promoter-TSS (Nvec_vc1.1_LOC5502244)	-promoter-TSS (Nvec_vc1.1_LOC5502244)	-4	Nvec_vc1.1_LOC5502244	Nvec_vc1.1_LOC5502244	Nvec_vc1.1_XM_048726597			LOC5502244			NA
Fox_pos_R1.mLb.clN_peak_2648	NC_064035.1	21659871	21660769	+	5559	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	47	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Fox_pos_R1.mLb.clN_peak_867	NC_064034.1	15259347	15260306	+	5262	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-109	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_XM_032374705			LOC5506311			NA
Fox_pos_R1.mLb.clN_peak_10993	NC_064043.1	15592566	15593443	+	5229	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-12	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
