PeakID (cmd=annotatePeaks.pl Ncol_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R1.mLb.clN_peak_11555	NC_064045.1	7648413	7650506	+	5462	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-168	Nvec_NVE18637	Nvec_NVE18637	Nvec_NVE18637						NA
Ncol_pos_R1.mLb.clN_peak_10783	NC_064044.1	8450192	8451209	+	5219	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-12	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Ncol_pos_R1.mLb.clN_peak_3661	NC_064036.1	17653824	17654893	+	4964	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-52	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Ncol_pos_R1.mLb.clN_peak_6052	NC_064039.1	5144808	5146042	+	4340	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-3	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_XM_001641142			LOC5521517			NA
Ncol_pos_R1.mLb.clN_peak_10957	NC_064044.1	11844997	11846075	+	4264	NA	promoter-TSS (Nvec_vc1.1_LOC5514711)	-promoter-TSS (Nvec_vc1.1_LOC5514711)	-110	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_XM_001634854			LOC5514711			NA
Ncol_pos_R1.mLb.clN_peak_11731	NC_064045.1	11036096	11037013	+	4256	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-196	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Ncol_pos_R1.mLb.clN_peak_11697	NC_064045.1	10373024	10373812	+	4255	NA	promoter-TSS (Nvec_vc1.1_LOC5498592)	-promoter-TSS (Nvec_vc1.1_LOC5498592)	94	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Ncol_pos_R1.mLb.clN_peak_9058	NC_064042.1	8327205	8327575	+	4252	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-95	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Ncol_pos_R1.mLb.clN_peak_10402	NC_064043.1	15592657	15593477	+	4233	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-75	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Ncol_pos_R1.mLb.clN_peak_229	NC_064034.1	4429802	4430936	+	4212	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	141	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Ncol_pos_R1.mLb.clN_peak_7754	NC_064040.1	16920640	16921827	+	4060	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-65	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Ncol_pos_R1.mLb.clN_peak_5574	NC_064038.1	13813383	13814179	+	3948	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	19	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Ncol_pos_R1.mLb.clN_peak_5498	NC_064038.1	12419042	12420623	+	3911	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-636	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Ncol_pos_R1.mLb.clN_peak_8337	NC_064041.1	12519957	12520833	+	3904	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	1	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Ncol_pos_R1.mLb.clN_peak_12357	NC_064046.1	6457883	6458920	+	3897	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-52	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Ncol_pos_R1.mLb.clN_peak_11381	NC_064045.1	4675343	4676256	+	3849	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-27	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_XM_048720321			LOC5509656			NA
Ncol_pos_R1.mLb.clN_peak_9920	NC_064043.1	7994489	7995561	+	3844	NA	promoter-TSS (Nvec_vc1.1_LOC5521895)	-promoter-TSS (Nvec_vc1.1_LOC5521895)	-146	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_XM_001641719			LOC5521900			NA
Ncol_pos_R1.mLb.clN_peak_4709	NC_064037.1	15385426	15386240	+	3837	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-122	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Ncol_pos_R1.mLb.clN_peak_13672	NC_064048.1	3494899	3495425	+	3830	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-32	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Ncol_pos_R1.mLb.clN_peak_2529	NC_064035.1	21659810	21660738	+	3828	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	1	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Ncol_pos_R1.mLb.clN_peak_8577	NC_064041.1	16500564	16501601	+	3779	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-109	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Ncol_pos_R1.mLb.clN_peak_8562	NC_064041.1	16369162	16369931	+	3748	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-7	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_XM_032376688			LOC5507944			NA
Ncol_pos_R1.mLb.clN_peak_13820	NC_064048.1	6328705	6329800	+	3708	NA	promoter-TSS (Nvec_vc1.1_LOC5511395)	-promoter-TSS (Nvec_vc1.1_LOC5511395)	-114	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_XM_048722531			LOC116617754			NA
Ncol_pos_R1.mLb.clN_peak_13763	NC_064048.1	5214661	5215920	+	3707	NA	exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	-exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	236	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_XM_001642047			LOC5522216			NA
Ncol_pos_R1.mLb.clN_peak_5271	NC_064038.1	8116427	8117195	+	3683	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-64	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Ncol_pos_R1.mLb.clN_peak_5167	NC_064038.1	5917806	5918716	+	3653	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-180	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Ncol_pos_R1.mLb.clN_peak_9812	NC_064043.1	6228387	6229437	+	3652	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-79	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Ncol_pos_R1.mLb.clN_peak_4942	NC_064038.1	1051000	1052641	+	3605	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-465	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Ncol_pos_R1.mLb.clN_peak_10201	NC_064043.1	12561356	12562152	+	3604	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-138	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
