PeakID (cmd=annotatePeaks.pl Elav_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elav_pos_R1.mLb.clN_peak_174	NC_064034.1	3164156	3166319	+	76658	NA	exon (Nvec_vc1.1_LOC5506254, exon 1 of 1)	-exon (Nvec_vc1.1_LOC5506254, exon 1 of 1)	1227	Nvec_vc1.1_LOC5506254	Nvec_vc1.1_LOC5506254	Nvec_vc1.1_XM_048724864			LOC5506254			NA
Elav_pos_R1.mLb.clN_peak_14431	NC_064045.1	7648369	7650774	+	13310	NA	promoter-TSS (Nvec_NVE18637)	-promoter-TSS (Nvec_NVE18637)	-280	Nvec_NVE21932	Nvec_NVE21932	Nvec_NVE21932						NA
Elav_pos_R1.mLb.clN_peak_4248	NC_064036.1	12910339	12911676	+	7249	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-291	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Elav_pos_R1.mLb.clN_peak_13505	NC_064044.1	8450299	8451365	+	6933	NA	promoter-TSS (Nvec_v1g200488)	-promoter-TSS (Nvec_v1g200488)	-144	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_LOC5518352	Nvec_vc1.1_XM_001638266			LOC5518352			NA
Elav_pos_R1.mLb.clN_peak_1093	NC_064034.1	15259268	15260467	+	6304	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-150	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_LOC5506311	Nvec_vc1.1_XM_032374705			LOC5506311			NA
Elav_pos_R1.mLb.clN_peak_12885	NC_064043.1	13313587	13314432	+	6291	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	40	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Elav_pos_R1.mLb.clN_peak_13061	NC_064043.1	15592543	15593477	+	6077	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-18	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Elav_pos_R1.mLb.clN_peak_3214	NC_064035.1	21659908	21660789	+	6032	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	75	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_LOC5513149	Nvec_vc1.1_XM_032382662			LOC5513149			NA
Elav_pos_R1.mLb.clN_peak_10447	NC_064041.1	12519713	12520835	+	5893	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-120	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Elav_pos_R1.mLb.clN_peak_14355	NC_064045.1	6551743	6552782	+	5794	NA	promoter-TSS (Nvec_vc1.1_LOC5510098)	-promoter-TSS (Nvec_vc1.1_LOC5510098)	-202	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_XM_001630548			LOC5510098			NA
Elav_pos_R1.mLb.clN_peak_12933	NC_064043.1	13730021	13731668	+	5757	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	174	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_XM_032375196			LOC5506748			NA
Elav_pos_R1.mLb.clN_peak_17001	NC_064048.1	3494889	3495584	+	5667	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-80	Nvec_vc1.1_LOC5515613	Nvec_vc1.1_LOC5515613	Nvec_vc1.1_XM_001635684			LOC5515613			NA
