GO.ID	Term	Annotated	Significant	Expected	pval_test	pval_adj	ontology
GO:0071242	cellular response to ammonium ion	21	5	0.35	1.5e-05	0.156915	BP
GO:0008589	regulation of smoothened signaling pathw...	26	4	0.43	0.00071	1	BP
GO:0035372	protein localization to microtubule	4	2	0.07	0.00155	1	BP
GO:0097332	response to antipsychotic drug	4	2	0.07	0.00155	1	BP
GO:0097338	response to clozapine	4	2	0.07	0.00155	1	BP
GO:0010966	regulation of phosphate transport	4	2	0.07	0.00155	1	BP
GO:0055062	phosphate ion homeostasis	5	2	0.08	0.00256	1	BP
GO:0072505	divalent inorganic anion homeostasis	5	2	0.08	0.00256	1	BP
GO:0048710	regulation of astrocyte differentiation	5	2	0.08	0.00256	1	BP
GO:0071312	cellular response to alkaloid	5	2	0.08	0.00256	1	BP
GO:0002089	lens morphogenesis in camera-type eye	5	2	0.08	0.00256	1	BP
GO:1990403	embryonic brain development	6	2	0.1	0.00381	1	BP
GO:0050877	nervous system process	209	9	3.46	0.00492	1	BP
GO:0034767	positive regulation of ion transmembrane...	22	3	0.36	0.00509	1	BP
GO:0060571	morphogenesis of an epithelial fold	7	2	0.12	0.00528	1	BP
GO:0042430	indole-containing compound metabolic pro...	7	2	0.12	0.00528	1	BP
GO:0045472	response to ether	7	2	0.12	0.00528	1	BP
GO:0070306	lens fiber cell differentiation	7	2	0.12	0.00528	1	BP
GO:0031076	embryonic camera-type eye development	7	2	0.12	0.00528	1	BP
GO:0072347	response to anesthetic	23	3	0.38	0.00579	1	BP
GO:0030326	embryonic limb morphogenesis	24	3	0.4	0.00654	1	BP
GO:0031128	developmental induction	8	2	0.13	0.00696	1	BP
GO:0043278	response to morphine	8	2	0.13	0.00696	1	BP
GO:0045838	positive regulation of membrane potentia...	8	2	0.13	0.00696	1	BP
GO:0030900	forebrain development	79	5	1.31	0.00834	1	BP
GO:0032026	response to magnesium ion	9	2	0.15	0.00886	1	BP
GO:0048661	positive regulation of smooth muscle cel...	9	2	0.15	0.00886	1	BP
GO:0097711	ciliary basal body-plasma membrane docki...	27	3	0.45	0.00914	1	BP
GO:1901987	regulation of cell cycle phase transitio...	84	5	1.39	0.01078	1	BP
GO:0021537	telencephalon development	54	4	0.89	0.01082	1	BP
GO:0006972	hyperosmotic response	10	2	0.17	0.01096	1	BP
GO:0007596	blood coagulation	30	3	0.5	0.01227	1	BP
GO:0007599	hemostasis	30	3	0.5	0.01227	1	BP
GO:0050817	coagulation	30	3	0.5	0.01227	1	BP
GO:0032103	positive regulation of response to exter...	57	4	0.94	0.01306	1	BP
GO:0050432	catecholamine secretion	11	2	0.18	0.01326	1	BP
GO:0050433	regulation of catecholamine secretion	11	2	0.18	0.01326	1	BP
GO:0021846	cell proliferation in forebrain	11	2	0.18	0.01326	1	BP
GO:0055083	monovalent inorganic anion homeostasis	11	2	0.18	0.01326	1	BP
GO:0051930	regulation of sensory perception of pain	12	2	0.2	0.01575	1	BP
GO:0051937	catecholamine transport	12	2	0.2	0.01575	1	BP
GO:1905801	positive regulation of intraciliary retr...	1	1	0.02	0.01654	1	BP
GO:0033189	response to vitamin A	1	1	0.02	0.01654	1	BP
GO:1905518	regulation of presynaptic active zone as...	1	1	0.02	0.01654	1	BP
GO:1905519	negative regulation of presynaptic activ...	1	1	0.02	0.01654	1	BP
GO:1901355	response to rapamycin	1	1	0.02	0.01654	1	BP
GO:0042429	serotonin catabolic process	1	1	0.02	0.01654	1	BP
GO:0042431	indole metabolic process	1	1	0.02	0.01654	1	BP
GO:0021934	hindbrain tangential cell migration	1	1	0.02	0.01654	1	BP
GO:0021935	cerebellar granule cell precursor tangen...	1	1	0.02	0.01654	1	BP
GO:1902456	regulation of stomatal opening	1	1	0.02	0.01654	1	BP
GO:1903999	negative regulation of eating behavior	1	1	0.02	0.01654	1	BP
GO:1905607	negative regulation of presynapse assemb...	1	1	0.02	0.01654	1	BP
GO:1903119	protein localization to actin cytoskelet...	1	1	0.02	0.01654	1	BP
GO:0072752	cellular response to rapamycin	1	1	0.02	0.01654	1	BP
GO:2000185	regulation of phosphate transmembrane tr...	1	1	0.02	0.01654	1	BP
GO:2000187	positive regulation of phosphate transme...	1	1	0.02	0.01654	1	BP
GO:0019336	phenol-containing compound catabolic pro...	1	1	0.02	0.01654	1	BP
GO:0021797	forebrain anterior/posterior pattern spe...	1	1	0.02	0.01654	1	BP
GO:1901161	primary amino compound catabolic process	1	1	0.02	0.01654	1	BP
GO:0060368	regulation of Fc receptor mediated stimu...	1	1	0.02	0.01654	1	BP
GO:1901128	gentamycin metabolic process	1	1	0.02	0.01654	1	BP
GO:2000252	negative regulation of feeding behavior	1	1	0.02	0.01654	1	BP
GO:1990069	stomatal opening	1	1	0.02	0.01654	1	BP
GO:2000286	receptor internalization involved in can...	1	1	0.02	0.01654	1	BP
GO:1990086	lens fiber cell apoptotic process	1	1	0.02	0.01654	1	BP
GO:0030647	aminoglycoside antibiotic metabolic proc...	1	1	0.02	0.01654	1	BP
GO:1903797	positive regulation of inorganic anion t...	1	1	0.02	0.01654	1	BP
GO:0099084	postsynaptic specialization organization	1	1	0.02	0.01654	1	BP
GO:1903745	negative regulation of pharyngeal pumpin...	1	1	0.02	0.01654	1	BP
GO:0003108	negative regulation of the force of hear...	1	1	0.02	0.01654	1	BP
GO:0007458	progression of morphogenetic furrow invo...	1	1	0.02	0.01654	1	BP
GO:1904071	presynaptic active zone assembly	1	1	0.02	0.01654	1	BP
GO:0060160	negative regulation of dopamine receptor...	1	1	0.02	0.01654	1	BP
GO:0016060	metarhodopsin inactivation	1	1	0.02	0.01654	1	BP
GO:0060912	cardiac cell fate specification	1	1	0.02	0.01654	1	BP
GO:1902897	regulation of postsynaptic density prote...	1	1	0.02	0.01654	1	BP
GO:0031001	response to brefeldin A	1	1	0.02	0.01654	1	BP
GO:0010118	stomatal movement	1	1	0.02	0.01654	1	BP
GO:0010119	regulation of stomatal movement	1	1	0.02	0.01654	1	BP
GO:1904527	negative regulation of microtubule bindi...	1	1	0.02	0.01654	1	BP
GO:0045752	positive regulation of Toll signaling pa...	1	1	0.02	0.01654	1	BP
GO:0033605	positive regulation of catecholamine sec...	1	1	0.02	0.01654	1	BP
GO:0061356	regulation of Wnt protein secretion	1	1	0.02	0.01654	1	BP
GO:0061357	positive regulation of Wnt protein secre...	1	1	0.02	0.01654	1	BP
GO:1905796	regulation of intraciliary anterograde t...	1	1	0.02	0.01654	1	BP
GO:0097119	postsynaptic density protein 95 clusteri...	1	1	0.02	0.01654	1	BP
GO:1905798	positive regulation of intraciliary ante...	1	1	0.02	0.01654	1	BP
GO:1905799	regulation of intraciliary retrograde tr...	1	1	0.02	0.01654	1	BP
GO:0097106	postsynaptic density organization	1	1	0.02	0.01654	1	BP
GO:0071362	cellular response to ether	1	1	0.02	0.01654	1	BP
GO:0044379	protein localization to actin cortical p...	1	1	0.02	0.01654	1	BP
GO:0097264	self proteolysis	1	1	0.02	0.01654	1	BP
GO:0071315	cellular response to morphine	1	1	0.02	0.01654	1	BP
GO:0071317	cellular response to isoquinoline alkalo...	1	1	0.02	0.01654	1	BP
GO:1904370	regulation of protein localization to ac...	1	1	0.02	0.01654	1	BP
GO:1904372	positive regulation of protein localizat...	1	1	0.02	0.01654	1	BP
GO:1904373	response to kainic acid	1	1	0.02	0.01654	1	BP
GO:1905874	regulation of postsynaptic density organ...	1	1	0.02	0.01654	1	BP
GO:1901684	arsenate ion transmembrane transport	1	1	0.02	0.01654	1	BP
GO:0098719	sodium ion import across plasma membrane	1	1	0.02	0.01654	1	BP
GO:1903385	regulation of homophilic cell adhesion	1	1	0.02	0.01654	1	BP
GO:1903387	positive regulation of homophilic cell a...	1	1	0.02	0.01654	1	BP
GO:0051046	regulation of secretion	129	6	2.13	0.01654	1	BP
GO:0071407	cellular response to organic cyclic comp...	94	5	1.55	0.01706	1	BP
GO:1905114	cell surface receptor signaling pathway ...	94	5	1.55	0.01706	1	BP
GO:0120032	regulation of plasma membrane bounded ce...	34	3	0.56	0.01729	1	BP
GO:0021761	limbic system development	34	3	0.56	0.01729	1	BP
GO:0060491	regulation of cell projection assembly	34	3	0.56	0.01729	1	BP
GO:1901990	regulation of mitotic cell cycle phase t...	62	4	1.03	0.01741	1	BP
GO:0009410	response to xenobiotic stimulus	63	4	1.04	0.01838	1	BP
GO:0099175	regulation of postsynapse organization	13	2	0.21	0.01842	1	BP
GO:0055092	sterol homeostasis	13	2	0.21	0.01842	1	BP
GO:2001259	positive regulation of cation channel ac...	13	2	0.21	0.01842	1	BP
GO:0042632	cholesterol homeostasis	13	2	0.21	0.01842	1	BP
GO:0051931	regulation of sensory perception	13	2	0.21	0.01842	1	BP
GO:0007610	behavior	258	9	4.27	0.01931	1	BP
GO:0007611	learning or memory	97	5	1.6	0.01934	1	BP
GO:0010564	regulation of cell cycle process	134	6	2.22	0.01968	1	BP
GO:0019233	sensory perception of pain	36	3	0.6	0.02018	1	BP
GO:0040024	dauer larval development	14	2	0.23	0.02127	1	BP
GO:0042733	embryonic digit morphogenesis	14	2	0.23	0.02127	1	BP
GO:0015844	monoamine transport	14	2	0.23	0.02127	1	BP
GO:1902017	regulation of cilium assembly	14	2	0.23	0.02127	1	BP
GO:0021602	cranial nerve morphogenesis	14	2	0.23	0.02127	1	BP
GO:0007405	neuroblast proliferation	37	3	0.61	0.02172	1	BP
GO:0019098	reproductive behavior	67	4	1.11	0.02259	1	BP
GO:0051291	protein heterooligomerization	15	2	0.25	0.0243	1	BP
GO:0032414	positive regulation of ion transmembrane...	15	2	0.25	0.0243	1	BP
GO:0061512	protein localization to cilium	15	2	0.25	0.0243	1	BP
GO:0031396	regulation of protein ubiquitination	39	3	0.64	0.02498	1	BP
GO:0045860	positive regulation of protein kinase ac...	70	4	1.16	0.0261	1	BP
GO:0050890	cognition	106	5	1.75	0.02738	1	BP
GO:0032411	positive regulation of transporter activ...	16	2	0.26	0.02748	1	BP
GO:0018107	peptidyl-threonine phosphorylation	16	2	0.26	0.02748	1	BP
GO:0032091	negative regulation of protein binding	16	2	0.26	0.02748	1	BP
GO:0010923	negative regulation of phosphatase activ...	16	2	0.26	0.02748	1	BP
GO:0048701	embryonic cranial skeleton morphogenesis	16	2	0.26	0.02748	1	BP
GO:0019751	polyol metabolic process	16	2	0.26	0.02748	1	BP
GO:0046849	bone remodeling	16	2	0.26	0.02748	1	BP
GO:1903350	response to dopamine	16	2	0.26	0.02748	1	BP
GO:1903351	cellular response to dopamine	16	2	0.26	0.02748	1	BP
GO:0044770	cell cycle phase transition	107	5	1.77	0.02839	1	BP
GO:0007600	sensory perception	108	5	1.79	0.02942	1	BP
GO:0051261	protein depolymerization	17	2	0.28	0.03083	1	BP
GO:1905515	non-motile cilium assembly	17	2	0.28	0.03083	1	BP
GO:0018210	peptidyl-threonine modification	17	2	0.28	0.03083	1	BP
GO:0014013	regulation of gliogenesis	17	2	0.28	0.03083	1	BP
GO:0120031	plasma membrane bounded cell projection ...	109	7	1.8	0.03229	1	BP
GO:0001934	positive regulation of protein phosphory...	111	5	1.84	0.03267	1	BP
GO:0048469	cell maturation	75	4	1.24	0.03267	1	BP
GO:0006775	fat-soluble vitamin metabolic process	2	1	0.03	0.03281	1	BP
GO:0022400	regulation of rhodopsin mediated signali...	2	1	0.03	0.03281	1	BP
GO:0001560	regulation of cell growth by extracellul...	2	1	0.03	0.03281	1	BP
GO:0070857	regulation of bile acid biosynthetic pro...	2	1	0.03	0.03281	1	BP
GO:0061900	glial cell activation	2	1	0.03	0.03281	1	BP
GO:0061144	alveolar secondary septum development	2	1	0.03	0.03281	1	BP
GO:0021995	neuropore closure	2	1	0.03	0.03281	1	BP
GO:0060595	fibroblast growth factor receptor signal...	2	1	0.03	0.03281	1	BP
GO:0048368	lateral mesoderm development	2	1	0.03	0.03281	1	BP
GO:0048369	lateral mesoderm morphogenesis	2	1	0.03	0.03281	1	BP
GO:0008592	regulation of Toll signaling pathway	2	1	0.03	0.03281	1	BP
GO:0010037	response to carbon dioxide	2	1	0.03	0.03281	1	BP
GO:0048370	lateral mesoderm formation	2	1	0.03	0.03281	1	BP
GO:0048371	lateral mesodermal cell differentiation	2	1	0.03	0.03281	1	BP
GO:0048372	lateral mesodermal cell fate commitment	2	1	0.03	0.03281	1	BP
GO:1903465	positive regulation of mitotic cell cycl...	2	1	0.03	0.03281	1	BP
GO:0035602	fibroblast growth factor receptor signal...	2	1	0.03	0.03281	1	BP
GO:0048377	lateral mesodermal cell fate specificati...	2	1	0.03	0.03281	1	BP
GO:0035603	fibroblast growth factor receptor signal...	2	1	0.03	0.03281	1	BP
GO:0048378	regulation of lateral mesodermal cell fa...	2	1	0.03	0.03281	1	BP
GO:0035604	fibroblast growth factor receptor signal...	2	1	0.03	0.03281	1	BP
GO:0035607	fibroblast growth factor receptor signal...	2	1	0.03	0.03281	1	BP
GO:0021978	telencephalon regionalization	2	1	0.03	0.03281	1	BP
GO:0060523	prostate epithelial cord elongation	2	1	0.03	0.03281	1	BP
GO:0060525	prostate glandular acinus development	2	1	0.03	0.03281	1	BP
GO:0060526	prostate glandular acinus morphogenesis	2	1	0.03	0.03281	1	BP
GO:0060527	prostate epithelial cord arborization in...	2	1	0.03	0.03281	1	BP
GO:0060529	squamous basal epithelial stem cell diff...	2	1	0.03	0.03281	1	BP
GO:0150076	neuroinflammatory response	2	1	0.03	0.03281	1	BP
GO:0150077	regulation of neuroinflammatory response	2	1	0.03	0.03281	1	BP
GO:0150078	positive regulation of neuroinflammatory...	2	1	0.03	0.03281	1	BP
GO:0042436	indole-containing compound catabolic pro...	2	1	0.03	0.03281	1	BP
GO:2000480	negative regulation of cAMP-dependent pr...	2	1	0.03	0.03281	1	BP
GO:0060501	positive regulation of epithelial cell p...	2	1	0.03	0.03281	1	BP
GO:0060502	epithelial cell proliferation involved i...	2	1	0.03	0.03281	1	BP
GO:2000474	regulation of opioid receptor signaling ...	2	1	0.03	0.03281	1	BP
GO:0007522	visceral muscle development	2	1	0.03	0.03281	1	BP
GO:0007523	larval visceral muscle development	2	1	0.03	0.03281	1	BP
GO:1903961	positive regulation of anion transmembra...	2	1	0.03	0.03281	1	BP
GO:1903980	positive regulation of microglial cell a...	2	1	0.03	0.03281	1	BP
