annot	freq_in_fg	freq_in_bg	total_annot_in_fg	total_annot_in_bg	pval	pval_adj
Actin	2	8	205	9121	0.0128742175171501	0.0975914459979572
Acylphosphatase	1	1	205	9121	0.0224756057449841	0.0975914459979572
Amino_oxidase	2	6	205	9121	0.00710451643784056	0.0975914459979572
Aminotran_4	1	1	205	9121	0.0224756057449841	0.0975914459979572
ANAPC5	1	1	205	9121	0.0224756057449841	0.0975914459979572
Arm_vescicular	1	1	205	9121	0.0224756057449841	0.0975914459979572
ASC	2	8	205	9121	0.0128742175171501	0.0975914459979572
ATP-synt_F	1	1	205	9121	0.0224756057449841	0.0975914459979572
C1_2	1	1	205	9121	0.0224756057449841	0.0975914459979572
CG-1	1	1	205	9121	0.0224756057449841	0.0975914459979572
DUF4419	1	1	205	9121	0.0224756057449841	0.0975914459979572
DUF953	1	1	205	9121	0.0224756057449841	0.0975914459979572
Glucosamine_iso	1	1	205	9121	0.0224756057449841	0.0975914459979572
Glycohydro_20b2	1	1	205	9121	0.0224756057449841	0.0975914459979572
Headcase	1	1	205	9121	0.0224756057449841	0.0975914459979572
HECA	1	1	205	9121	0.0224756057449841	0.0975914459979572
HgmA	1	1	205	9121	0.0224756057449841	0.0975914459979572
Leg1	1	1	205	9121	0.0224756057449841	0.0975914459979572
Lyase_aromatic	1	1	205	9121	0.0224756057449841	0.0975914459979572
Med25	1	1	205	9121	0.0224756057449841	0.0975914459979572
Med25_VWA	1	1	205	9121	0.0224756057449841	0.0975914459979572
Mitoc_mL59	1	1	205	9121	0.0224756057449841	0.0975914459979572
MTA_R1	1	1	205	9121	0.0224756057449841	0.0975914459979572
ParBc	1	1	205	9121	0.0224756057449841	0.0975914459979572
Peptidase_C1	2	7	205	9121	0.00979978073441213	0.0975914459979572
Pkinase_C	2	9	205	9121	0.0163095901225892	0.0975914459979572
PNRC	1	1	205	9121	0.0224756057449841	0.0975914459979572
PSS	1	1	205	9121	0.0224756057449841	0.0975914459979572
Runt	1	1	205	9121	0.0224756057449841	0.0975914459979572
SARAF	1	1	205	9121	0.0224756057449841	0.0975914459979572
Urocanase	1	1	205	9121	0.0224756057449841	0.0975914459979572
Urocanase_C	1	1	205	9121	0.0224756057449841	0.0975914459979572
Urocanase_N	1	1	205	9121	0.0224756057449841	0.0975914459979572
Uso1_p115_C	1	1	205	9121	0.0224756057449841	0.0975914459979572
Uso1_p115_head	1	1	205	9121	0.0224756057449841	0.0975914459979572
Yos1	1	1	205	9121	0.0224756057449841	0.0975914459979572
zf-C2H2	6	83	205	9121	0.0107744927089312	0.0975914459979572
zf-C3Hc3H	1	1	205	9121	0.0224756057449841	0.0975914459979572
2-Hacid_dh	1	2	205	9121	0.0444484676772516	0.128666616960465
2-Hacid_dh_C	1	2	205	9121	0.0444484676772516	0.128666616960465
BTB_2	3	34	205	9121	0.0401801176231115	0.128666616960465
CD225	1	2	205	9121	0.0444484676772516	0.128666616960465
Copine	1	2	205	9121	0.0444484676772516	0.128666616960465
EF-hand_13	1	2	205	9121	0.0444484676772516	0.128666616960465
HEPN_DZIP3	1	2	205	9121	0.0444484676772516	0.128666616960465
KA1	1	2	205	9121	0.0444484676772516	0.128666616960465
OATP	1	2	205	9121	0.0444484676772516	0.128666616960465
PAN_4	1	2	205	9121	0.0444484676772516	0.128666616960465
Par3_HAL_N_term	1	2	205	9121	0.0444484676772516	0.128666616960465
